NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,MQ5,MP503,type
297.0,526.0,523.0,797.0,11.63,43.51,0.0,25.02,1020.97,17.81,382.27,-32.8,15.73,0.548,air
296.0,526.0,523.0,798.0,11.63,43.88,0.0,25.02,1020.96,17.81,380.54,-32.8,15.78,0.543,air
297.0,526.0,522.0,797.0,11.18,41.34,0.0,25.02,1020.97,17.8,381.4,-32.96,14.6,0.52,air
298.0,525.0,522.0,798.0,10.47,40.28,0.0,25.03,1020.98,17.81,382.27,-32.88,14.51,0.512,air
297.0,525.0,521.0,797.0,11.11,41.1,0.0,25.03,1020.96,17.81,381.19,-32.88,14.55,0.527,air
297.0,525.0,521.0,798.0,11.18,46.0,0.0,25.03,1020.98,17.81,379.47,-33.04,16.51,0.531,air
297.0,524.0,521.0,798.0,11.74,45.37,0.0,25.03,1020.98,17.8,380.11,-32.88,15.92,0.526,air
297.0,524.0,519.0,798.0,11.56,44.62,0.0,25.03,1020.97,17.81,380.11,-32.8,15.54,0.527,air
296.0,523.0,519.0,797.0,11.35,45.0,0.0,25.02,1020.96,17.8,379.26,-32.8,15.63,0.553,air
296.0,523.0,519.0,798.0,10.8,44.12,0.0,25.02,1020.97,17.8,382.05,-32.8,15.39,0.534,air
296.0,522.0,518.0,797.0,11.81,43.88,0.0,25.02,1020.96,17.8,382.92,-32.8,15.2,0.529,air
296.0,523.0,518.0,799.0,11.96,44.62,0.0,25.02,1020.96,17.8,379.69,-32.8,15.63,0.547,air
297.0,522.0,517.0,799.0,11.85,43.76,0.0,25.02,1020.96,17.8,378.83,-32.8,15.87,0.523,air
297.0,522.0,518.0,800.0,11.07,44.5,0.0,25.02,1020.97,17.81,382.49,-32.88,15.68,0.538,air
298.0,522.0,517.0,801.0,11.07,44.75,0.0,25.02,1020.97,17.81,380.76,-32.8,15.73,0.543,air
297.0,520.0,516.0,800.0,10.84,45.37,0.0,25.02,1020.96,17.8,379.9,-32.88,15.73,0.552,air
296.0,520.0,515.0,798.0,11.11,44.0,0.0,25.02,1020.97,17.82,379.9,-32.96,15.3,0.552,air
295.0,519.0,515.0,798.0,11.11,45.88,0.0,25.02,1020.97,17.82,380.33,-32.88,16.26,0.534,air
296.0,519.0,514.0,798.0,11.21,46.26,0.0,25.02,1020.97,17.82,380.11,-32.96,15.87,0.547,air
296.0,519.0,514.0,798.0,11.53,45.5,0.0,25.02,1020.98,17.81,380.33,-32.96,15.58,0.554,air
297.0,518.0,514.0,798.0,11.49,44.75,0.0,25.02,1020.98,17.81,381.19,-32.96,15.25,0.547,air
296.0,518.0,514.0,798.0,11.14,45.25,0.0,25.02,1020.98,17.8,380.54,-33.04,16.21,0.541,air
296.0,518.0,514.0,798.0,10.94,43.39,0.0,25.02,1020.99,17.8,381.62,-33.04,15.35,0.536,air
297.0,517.0,513.0,797.0,11.46,41.94,0.0,25.02,1020.98,17.8,381.84,-32.96,14.37,0.527,air
297.0,517.0,512.0,798.0,11.56,42.42,0.0,25.02,1020.99,17.8,382.7,-33.04,14.92,0.54,air
296.0,516.0,512.0,797.0,11.7,45.25,0.0,25.02,1020.99,17.8,382.05,-33.13,16.07,0.54,air
296.0,516.0,512.0,798.0,10.84,45.5,0.0,25.02,1021.0,17.79,382.05,-33.13,16.17,0.546,air
295.0,515.0,511.0,796.0,11.25,47.03,0.0,25.02,1021.0,17.79,383.14,-33.21,16.12,0.53,air
295.0,515.0,510.0,796.0,10.8,44.87,0.0,25.03,1021.01,17.79,381.19,-33.21,15.73,0.525,air
302.0,520.0,517.0,803.0,11.01,44.0,0.0,25.03,1021.0,17.78,380.11,-33.13,15.25,0.543,air
307.0,525.0,521.0,815.0,11.7,44.75,0.0,25.03,1021.0,17.78,382.49,-33.21,15.68,0.543,air
307.0,524.0,521.0,821.0,11.28,46.26,0.0,25.03,1021.01,17.78,383.14,-33.13,15.92,0.546,air
307.0,524.0,521.0,822.0,11.78,44.12,0.0,25.03,1021.0,17.77,381.19,-33.21,15.92,0.525,air
305.0,524.0,519.0,820.0,11.85,43.88,0.0,25.02,1021.01,17.77,379.69,-33.21,15.78,0.535,air
303.0,520.0,517.0,816.0,11.25,43.76,0.0,25.02,1021.01,17.76,381.62,-33.29,15.25,0.532,air
301.0,518.0,514.0,811.0,11.78,44.25,0.0,25.03,1021.03,17.76,380.11,-33.29,15.16,0.545,air
299.0,518.0,513.0,807.0,11.7,44.37,0.0,25.02,1021.02,17.76,381.19,-33.29,15.11,0.527,air
298.0,516.0,512.0,805.0,11.92,44.12,0.0,25.03,1021.02,17.75,381.4,-33.29,15.39,0.521,air
297.0,515.0,511.0,802.0,11.01,44.25,0.0,25.03,1021.02,17.76,379.69,-33.38,15.58,0.548,air
297.0,515.0,510.0,801.0,11.92,44.37,0.0,25.03,1021.04,17.77,381.62,-33.46,15.63,0.538,air
296.0,514.0,509.0,801.0,11.92,42.66,0.0,25.03,1021.04,17.77,379.05,-33.46,14.69,0.537,air
295.0,514.0,509.0,800.0,12.07,44.25,0.0,25.03,1021.04,17.77,380.54,-33.46,15.44,0.529,air
295.0,513.0,508.0,800.0,11.56,43.76,0.0,25.03,1021.04,17.76,380.54,-33.54,15.44,0.541,air
294.0,512.0,507.0,799.0,11.35,43.63,0.0,25.03,1021.05,17.76,380.54,-33.54,15.49,0.527,air
295.0,512.0,507.0,798.0,11.28,44.0,0.0,25.03,1021.04,17.76,379.69,-33.54,14.83,0.545,air
296.0,511.0,506.0,799.0,10.94,42.9,0.0,25.03,1021.04,17.76,380.54,-33.54,14.65,0.516,air
297.0,511.0,506.0,799.0,11.39,42.78,0.0,25.03,1021.05,17.76,381.62,-33.62,14.6,0.545,air
297.0,512.0,507.0,799.0,10.8,42.66,0.0,25.03,1021.06,17.75,380.11,-33.71,14.65,0.526,air
296.0,511.0,505.0,799.0,10.97,41.7,0.0,25.03,1021.06,17.76,378.41,-33.71,14.37,0.527,air
296.0,512.0,506.0,800.0,10.63,40.4,0.0,25.03,1021.07,17.76,380.11,-33.71,13.92,0.529,air
296.0,511.0,505.0,801.0,11.11,42.3,0.0,25.03,1021.07,17.76,378.62,-33.71,14.55,0.531,air
399.0,584.0,571.0,825.0,11.07,42.78,0.0,25.06,1021.06,18.17,27.6,-33.54,14.88,0.527,nutmeg
381.0,582.0,569.0,837.0,10.94,43.88,0.0,25.06,1021.05,18.19,27.4,-33.54,14.97,0.53,nutmeg
366.0,579.0,567.0,834.0,10.77,43.39,0.0,25.07,1021.04,18.21,29.43,-33.38,15.02,0.527,nutmeg
477.0,666.0,565.0,840.0,11.78,42.9,0.0,25.08,1021.02,18.22,32.91,-33.38,15.25,0.535,nutmeg
544.0,738.0,582.0,879.0,11.56,43.51,0.0,25.09,1021.02,18.24,37.4,-33.29,14.78,0.527,nutmeg
560.0,753.0,605.0,893.0,11.35,44.87,0.0,25.09,1021.02,18.25,41.77,-33.21,15.44,0.527,nutmeg
523.0,748.0,608.0,882.0,10.73,42.66,0.0,25.1,1021.0,18.28,44.73,-33.13,14.88,0.508,nutmeg
483.0,740.0,605.0,870.0,11.49,40.87,0.0,25.1,1021.0,18.32,40.57,-33.04,14.42,0.507,nutmeg
449.0,732.0,602.0,859.0,10.47,42.18,0.0,25.11,1020.99,18.34,34.81,-32.88,14.42,0.529,nutmeg
422.0,724.0,598.0,850.0,11.39,44.0,0.0,25.11,1020.98,18.36,31.99,-32.8,14.92,0.547,nutmeg
400.0,717.0,595.0,843.0,11.18,42.78,0.0,25.12,1020.96,18.37,31.56,-32.8,14.92,0.543,nutmeg
384.0,710.0,592.0,838.0,10.73,43.51,0.0,25.13,1020.96,18.38,34.08,-32.71,14.83,0.508,nutmeg
371.0,703.0,589.0,832.0,11.18,41.46,0.0,25.14,1020.95,18.37,39.03,-32.63,14.42,0.532,nutmeg
361.0,698.0,585.0,829.0,11.53,42.9,0.0,25.14,1020.94,18.37,40.64,-32.71,14.88,0.516,nutmeg
352.0,693.0,584.0,829.0,11.18,43.27,0.0,25.15,1020.95,18.36,36.56,-32.71,14.78,0.54,nutmeg
346.0,687.0,582.0,826.0,11.11,42.18,0.0,25.16,1020.94,18.38,32.19,-32.63,14.55,0.519,nutmeg
340.0,682.0,579.0,824.0,11.56,43.39,0.0,25.16,1020.94,18.39,28.34,-32.63,14.83,0.535,nutmeg
337.0,679.0,577.0,823.0,11.39,41.94,0.0,25.17,1020.95,18.43,24.57,-32.71,14.65,0.525,nutmeg
333.0,674.0,577.0,822.0,11.14,42.9,0.0,25.17,1020.95,18.46,20.18,-32.71,14.83,0.527,nutmeg
329.0,670.0,575.0,822.0,11.18,42.9,0.0,25.18,1020.95,18.47,19.04,-32.63,14.78,0.527,nutmeg
326.0,666.0,573.0,820.0,11.18,42.54,0.0,25.19,1020.95,18.49,19.09,-32.71,14.92,0.53,nutmeg
323.0,662.0,570.0,819.0,11.18,42.06,0.0,25.2,1020.94,18.48,20.34,-32.63,14.69,0.525,nutmeg
320.0,658.0,569.0,817.0,11.25,42.9,0.0,25.2,1020.95,18.48,21.18,-32.63,15.02,0.527,nutmeg
317.0,655.0,567.0,816.0,11.74,43.27,0.0,25.21,1020.94,18.48,22.37,-32.63,14.51,0.535,nutmeg
316.0,651.0,565.0,814.0,11.14,43.02,0.0,25.21,1020.95,18.46,24.33,-32.71,14.92,0.527,nutmeg
314.0,648.0,563.0,812.0,11.78,41.82,0.0,25.22,1020.95,18.45,24.96,-32.71,14.65,0.527,nutmeg
312.0,645.0,561.0,812.0,11.35,41.94,0.0,25.23,1020.95,18.44,27.49,-32.71,14.74,0.536,nutmeg
597.0,644.0,560.0,811.0,11.53,41.46,0.0,25.24,1020.95,18.43,31.75,-32.71,14.28,0.529,nutmeg
686.0,680.0,561.0,824.0,11.74,44.87,0.0,25.26,1020.96,18.39,36.12,-32.71,15.49,0.531,nutmeg
646.0,686.0,560.0,828.0,12.07,45.37,0.0,25.26,1020.95,18.35,38.64,-32.63,15.92,0.548,nutmeg
593.0,683.0,558.0,825.0,11.7,44.75,0.0,25.27,1020.94,18.33,41.36,-32.55,15.68,0.54,nutmeg
545.0,678.0,557.0,821.0,11.42,45.12,0.0,25.28,1020.93,18.31,45.56,-32.55,15.97,0.542,nutmeg
506.0,673.0,556.0,819.0,12.07,44.87,0.0,25.28,1020.94,18.27,50.46,-32.63,15.58,0.546,nutmeg
476.0,669.0,555.0,818.0,11.01,43.02,0.0,25.29,1020.93,18.23,56.85,-32.63,15.44,0.525,nutmeg
451.0,665.0,554.0,819.0,11.42,43.76,0.0,25.3,1020.92,18.22,63.29,-32.47,15.39,0.547,nutmeg
430.0,662.0,553.0,819.0,11.56,44.62,0.0,25.31,1020.93,18.18,68.92,-32.47,14.97,0.534,nutmeg
413.0,657.0,551.0,818.0,11.21,44.0,0.0,25.32,1020.92,18.16,73.68,-32.47,15.06,0.535,nutmeg
399.0,654.0,550.0,815.0,11.56,44.0,0.0,25.32,1020.93,18.16,77.68,-32.55,15.63,0.527,nutmeg
387.0,651.0,548.0,815.0,11.18,44.12,0.0,25.33,1020.93,18.15,82.22,-32.47,14.97,0.521,nutmeg
376.0,647.0,546.0,813.0,11.88,41.7,0.0,25.33,1020.92,18.15,88.7,-32.47,14.6,0.527,nutmeg
368.0,643.0,545.0,811.0,11.42,45.12,0.0,25.34,1020.91,18.12,94.64,-32.47,14.97,0.521,nutmeg
359.0,640.0,543.0,810.0,11.92,45.25,0.0,25.34,1020.92,18.12,99.38,-32.47,15.82,0.546,nutmeg
354.0,637.0,542.0,809.0,11.18,45.62,0.0,25.35,1020.92,18.1,96.87,-32.55,15.92,0.526,nutmeg
348.0,635.0,541.0,809.0,11.21,45.88,0.0,25.36,1020.93,18.08,94.33,-32.55,15.63,0.52,nutmeg
347.0,635.0,539.0,810.0,11.35,44.62,0.0,25.37,1020.93,18.05,96.54,-32.55,15.78,0.535,nutmeg
342.0,633.0,538.0,810.0,11.35,43.76,0.0,25.37,1020.93,18.03,99.79,-32.71,14.78,0.531,nutmeg
351.0,632.0,537.0,810.0,11.18,41.22,0.0,25.38,1020.94,18.03,103.53,-32.71,14.42,0.513,nutmeg
373.0,634.0,538.0,813.0,10.97,42.9,0.0,25.39,1020.95,18.01,108.59,-32.71,14.69,0.529,nutmeg
391.0,637.0,540.0,815.0,11.78,42.18,0.0,25.39,1020.94,18.0,114.1,-32.71,14.46,0.512,nutmeg
408.0,639.0,542.0,817.0,11.78,43.51,0.0,25.4,1020.96,18.0,118.09,-32.8,14.28,0.527,nutmeg
411.0,640.0,544.0,817.0,11.7,45.5,0.0,25.4,1020.96,17.99,123.54,-32.8,15.63,0.54,nutmeg
619.0,766.0,724.0,855.0,49.33,45.75,0.0,25.32,1021.02,17.65,248.82,-33.29,15.58,0.736,orange
644.0,782.0,722.0,855.0,55.49,44.25,0.0,25.31,1021.01,17.64,251.46,-33.21,15.25,0.756,orange
